intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
15650000,0.06582267833109018,0.00668032611943484,0.06582267833109018,0.025959597328166707,1.2242811501597444,1.0,0.5787931237152174,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_000003025.6 pig (Sus scrofa),2edac3821d65091319e98478f22e942c,0.00668032611943484,15650000,0,222110000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9480492372114512,0.9064606874724865,0.9272549623419688,0.9480492372114512,False,1916,1916,73807,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa;unclassified Sus scrofa subspecies/strain
3660000,0.015393674293405114,0.6365217391304347,0.015393674293405114,0.013332068773964529,2.6885245901639343,2.0,2.293070937825094,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_024129195.1 Escherichia coli,7bbb9d24c01d93dc87584435b2eafb64,0.6365217391304347,3660000,1,218450000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9214201217236441,0.9911815303190356,0.9563008260213398,0.9911815303190356,False,984,2900,73807,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
2580000,0.010851278600269179,0.46402877697841727,0.010851278600269179,0.006530545883181812,1.8682170542635659,1.0,3.1509315589713394,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_964241715.1 Parabacteroides sp. D26,4c76bdec1be85c3c6032bc2ebdc5ed47,0.46402877697841727,2580000,2,215870000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9151241530465697,0.9850576882911792,0.9500909206688745,0.9850576882911792,False,482,3382,73807,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis
2390000,0.010052153432032302,0.5915841584158416,0.010052153432032302,0.008684813093609007,2.6820083682008367,2.0,1.742686614372543,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945911275.1 uncultured bacterium,98fb24ca66e68e111611bf363a367ff3,0.5915841584158416,2390000,3,213480000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9137525668928985,0.9897596300574236,0.9517560984751611,0.9897596300574236,False,641,4023,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp004562915
2330000,0.009799798115746971,0.879245283018868,0.009799798115746971,0.00941645101413145,2.982832618025751,2.0,3.0234642683987025,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_038436425.1 Enterococcus faecalis,c5a27240206435b5ea412100ef5e7dd7,0.879245283018868,2330000,4,211150000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9132971461310282,0.9974798207537565,0.9553884834423924,0.9974798207537565,False,695,4718,73807,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis
2130000,0.008958613728129205,0.5564516129032258,0.008706258411843876,0.01495793081956996,5.333333333333333,4.0,11.788391899444099,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_004556565.1 Lachnospiraceae bacterium,f8013158fbcc3390336623ebd6dd3610,0.5725806451612904,2070000,5,209080000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9116914019613633,0.9891261855761766,0.95040879376877,0.9891261855761766,False,1104,5822,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp004556565
1750000,0.007360363391655451,0.8578431372549019,0.007360363391655451,0.05000880675274703,21.091428571428573,20.0,14.096511654176242,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_000236455.2 Limosilactobacillus reuteri subsp. suis,a70c17b1eb3c35b96df5853a0676f269,0.8578431372549019,1750000,6,207330000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9081853567756267,0.996997965733334,0.9525916612544804,0.996997965733334,False,3691,9513,73807,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus suis
1730000,0.007276244952893674,0.8084112149532711,0.007276244952893674,0.11603235465470754,49.50289017341041,49.0,11.560658959485549,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945918265.1 uncultured Anaeromassilibacillus sp.,53be0570068a5a855cc7abb2f5699083,0.8084112149532711,1730000,7,205600000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9079806930345651,0.9958384007986036,0.9519095469165844,0.9958384007986036,False,8564,18077,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Limousia;s__Limousia pullorum
1700000,0.00715006729475101,0.7623318385650224,0.00715006729475101,0.0077770401181459755,3.376470588235294,3.0,1.9582493417410016,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_004557075.1 Clostridiales bacterium,bfdde4b8cc2210a6b86c978369801b02,0.7623318385650224,1700000,8,203900000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9076693062600959,0.9946930859150858,0.9511811960875909,0.9946930859150858,False,574,18651,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp004557075
1670000,0.007023889636608344,0.784037558685446,0.007023889636608344,0.00802091942498679,3.5449101796407185,3.0,1.9134149389139956,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCA_945948805.1 uncultured Ruminococcus sp.,94c55ce9f603ab662d67b74f4288ef1a,0.784037558685446,1670000,9,202230000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.9073524848741689,0.9952408050817854,0.9512966449779772,0.9952408050817854,False,592,19243,73807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp900766945
1560000,0.006561238223418573,0.9069767441860465,0.006561238223418573,0.02444212608560164,11.564102564102564,11.0,5.657057637826022,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb,GCF_037236875.1 Methanobrevibacter smithii,a9d205b0d7d20bb8f6c4265f27ec859a,0.9069767441860465,1560000,10,200670000,-,SRR11125891,028a6fec,237760000,51,DNA,10000,23776,True,0.906141039285535,0.9980873516521297,0.9521141954688324,0.9980873516521297,False,1804,21047,73807,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii
